Name,Country,Continent,Housing,Cost_of_Living,Commute,Safety,Healthcare,Education
Delhi,India,Asia,9.752,9.869,3.71225,6.4185,3.71266666666667,0.512
Denver,Colorado,North America,3.8375,5.102,4.53,5.371,6.22033333333333,3.6245
Des Moines,Iowa,North America,6.851,6.327,2.07225,6.984,6.709,3.6245
Detroit,Michigan,North America,6.223,6.032,0.933,4.4615,5.78633333333333,5.8185
Doha,Qatar,Asia,2.1315,6.183,4.61625,9.486,7.43366666666667,1.4335
Dresden,Germany,Europe,7.8845,6.028,4.96,8.464,8.39366666666667,5.1245
Dubai,United Arab Emirates,Asia,2.591,5.49,4.2285,9.172,6.392,2.28
Dublin,Ireland,Europe,2.5125,4.005,5.44625,7.1215,6.81033333333333,5.6065
Dusseldorf,Germany,Europe,6.282,5.134,5.283,8.166,8.00366666666667,4.3065
Edinburgh,United Kingdom,Europe,5.845,5.114,5.9675,8.485,8.55233333333333,6.0925
Edmonton,Canada,North America,6.7295,5.522,5.09725,7.1175,8.269,5.948
Eindhoven,Netherlands,Europe,6.252,5.125,6.03175,9.107,8.55933333333333,5.0805
Eugene,Oregon,North America,6.713,5.021,5.627,6.1715,6.56666666666667,4.1735
Florence,Italy,Europe,6.775,4.649,6.02875,7.9725,8.16366666666667,4.058
Florianopolis,Brazil,South America,9.0595,8.331,4.78775,6.525,5.433,1.0165
Fort Collins,Colorado,North America,2.7445,0,2.0075,6.9355,6.831,4.1735
Frankfurt,Germany,Europe,5.957,5.143,5.923,6.8375,7.70733333333333,5.2065
Fukuoka,Japan,Asia,4.01,0,0,9.945,9.098,5.5275
Galway,Ireland,Europe,6.2755,4.927,5.68975,8.89,7.07,5.0075
Gdansk,Poland,Europe,8.508,8.127,5.861,8.0405,6.85566666666667,4.6615
Geneva,Switzerland,Europe,1.0775,1,6.003,8.427,7.443,5.186
Gibraltar,Gibraltar,Europe,1.112,0,0,9.3375,3.02333333333333,0
Glasgow,United Kingdom,Europe,6.9285,5.623,5.35225,7.496,8.81333333333333,5.3065
Gothenburg,Sweden,Europe,6.725,5.046,5.96875,7.296,8.10166666666667,4.7775
Grenoble,France,Europe,7.505,4.317,5.52575,5.8875,9.063,4.549
Guadalajara,Mexico,North America,9.527,9.49,4.3455,6.472,7.03433333333333,1.2095
Guatemala City,Guatemala,North America,8.8125,8.175,0.52375,6.139,4.76366666666667,0
Halifax,Canada,North America,6.895,4.943,5.40275,7.1885,7.88566666666667,5.42
Hamburg,Germany,Europe,5.9445,4.904,5.8265,6.459,8.13,4.3065
Hannover,Germany,Europe,7.754,6,6.54975,7.3525,8.13366666666667,4.834
Havana,Cuba,North America,9.089,7.608,0,8.6335,6.99966666666667,0
Helsinki,Finland,Europe,5.396,4.121,5.77925,8.674,7.95366666666667,5.4545
Ho Chi Minh City,Vietnam,Asia,8.618,8.844,5.1835,6.7675,5.54033333333333,4.1165
Hong Kong,Hong Kong,Asia,1,4.967,5.54025,9.3505,4.154,9.711
Honolulu,Hawaii,North America,2.3415,2.867,4.16175,6.8565,6.431,4.2805
Houston,Texas,North America,5.2245,6.162,4.03075,3.129,6.379,4.928
Hyderabad,India,Asia,10,10,4.632,8.1265,3.95733333333333,0
Indianapolis,Indiana,North America,6.266,5.478,4.85875,3.968,6.15133333333333,3.6245
Innsbruck,Austria,Europe,6.708,4.732,6.374,8.273,7.88466666666667,4.33
Istanbul,Turkey,Asia,9.1375,8.787,4.06575,6.8935,6.84,2.1525
Jacksonville,Florida,North America,6.45,5.359,1.40575,3.8255,6.199,3.6245
Jakarta,Indonesia,Asia,8.671,8.471,3.64,7.0005,4.184,1.0275
Johannesburg,South Africa,Africa,8.012,7.575,3.91575,5.1655,3.64866666666667,0.7585
Kansas City,Missouri,North America,6.7075,5.844,1.9725,4.4225,6.44966666666667,3.6245
Karlsruhe,Germany,Europe,7.7645,5.294,4.9055,6.858,8.412,5.2075
Kathmandu,Nepal,Asia,10,9.445,5.349,8.5055,4.116,0
Kiev,Ukraine,Europe,9.0845,9.817,5.16075,7.2555,4.851,0.5
Kingston,Jamaica,North America,8.8955,5.937,4.92675,5.5275,6.678,0
Knoxville,Tennessee,North America,6.9755,6.447,1.943,5.1295,6.42166666666667,4.212
Krakow,Poland,Europe,8.4245,8.509,5.629,8.5215,6.854,4.6625
Kuala Lumpur,Malaysia,Asia,8.6635,8.238,4.37975,5.881,5.95033333333333,2.527
Kyoto,Japan,Asia,3.765,0,2.5,10,9.07866666666667,6.241
Lagos,Nigeria,Africa,7.767,9.098,3.56475,5.9995,2.86233333333333,0
La Paz,Bolivia,South America,4.724,0,3.83425,6.7505,4.316,0
Las Palmas de Gran Canaria,Spain,Europe,8.232,7.717,0,9.1545,9.21433333333333,3.759
Las Vegas,Nevada,North America,7.001,5.759,4.8075,2.385,5.63533333333333,3.6245
Lausanne,Switzerland,Europe,4.0755,1,5.85825,8.0325,7.352,6.622
Leeds,United Kingdom,Europe,6.811,5.363,5.10575,7.731,8.63366666666667,4.9825
Leipzig,Germany,Europe,8.177,5.911,6.01375,7.277,7.30033333333333,4.3065
Lille,France,Europe,7.532,5.399,2.29375,6.942,9.071,4.3935
Lima,Peru,South America,8.712,8.496,4.759,5.2905,5.71066666666667,0.5
Lisbon,Portugal,Europe,6.734,7.004,5.31575,8.438,7.86033333333333,4.48
Liverpool,United Kingdom,Europe,7.485,6.02,4.541,7.7285,9.02766666666667,4.872
Ljubljana,Slovenia,Europe,8.214,6.749,5.69875,8.953,7.67166666666667,4.852
London,United Kingdom,Europe,1,3.94,5.3955,7.2435,8.018,9.027
Los Angeles,California,North America,1.5275,4.556,3.677,5.705,6.02733333333333,8.6245
Louisville,Kentucky,North America,7.258,6.358,1.954,3.6175,6.16233333333333,3.6245
Luxembourg,Luxembourg,Europe,2.453,3.411,5.8445,8.628,8.22033333333333,3.4795
Lviv,Ukraine,Europe,9.778,10,5.48525,7.822,4.87,0
Lyon,France,Europe,6.697,4.349,5.18525,7.1345,8.64166666666667,4.5805
Madison,Wisconsin,North America,5.8295,6.173,5.47375,7.362,7.007,5.386
Madrid,Spain,Europe,6.414,6.249,5.28575,7.7925,8.91633333333333,4.2915
Malaga,Spain,Europe,8.0515,7.375,5.78275,7.693,8.65566666666667,3.759
Malmo,Sweden,Europe,7.263,5.57,5.64675,6.598,8.215,3.893
Managua,Nicaragua,North America,4.7855,0,0,7.7745,6.40366666666667,0
Manchester,United Kingdom,Europe,6.4555,5.049,4.728,6.7725,8.519,5.652
Manila,Philippines,Asia,8.5955,8.752,3.713,6.4345,4.29766666666667,0
Marseille,France,Europe,7.5885,6.026,5.86075,5.252,8.84366666666667,4.442
Medellin,Colombia,South America,9.2315,9.315,5.3545,7.477,6.79066666666667,1.531
Melbourne,Australia,Oceania,4.83,4.798,4.872,7.1325,8.016,6.2205
Memphis,Tennessee,North America,7.1145,5.829,1.9175,2.8585,4.95133333333333,3.6245
Mexico City,Mexico,North America,8.36,9.244,3.806,5.464,6.38,1.713
Miami,Florida,North America,3.031,4.497,4.05275,4.321,6.031,4.3945
Milan,Italy,Europe,5.1945,4.801,5.512,7.378,8.44466666666667,4.283
Milwaukee,Wisconsin,North America,6.1225,5.526,4.915,4.267,6.08233333333333,4.177
Minneapolis-Saint Paul,Minnesota,North America,4.7385,5.042,4.925,5.085,6.681,5.2745
Minsk,Belarus,Europe,9.4955,9.289,5.3655,9.038,5.51066666666667,0.5
Montevideo,Uruguay,South America,8.183,6.197,5.288,5.9735,6.655,1.69
Montreal,Canada,North America,7.392,5.948,5.107,7.822,7.395,7.299
